,PLAYER,2012/13(*),
358,Nate Robinson,"$1,146,337 ","$1,287,802 "
361,JaJuan Johnson,"$1,120,440 ","$1,258,709 "
362,Norris Cole,"$1,113,600 ","$1,251,025 "
363,Josh Howard,"$1,113,560 ","$1,250,980 "
364,Tony Wroten,"$1,110,120 ","$1,247,115 "
365,Cory Joseph,"$1,105,560 ","$1,241,992 "
366,Jimmy Butler,"$1,097,520 ","$1,232,960 "
367,Patrick Mills,"$1,085,120 ","$1,219,030 "
368,Miles Plumlee,"$1,073,280 ","$1,205,729 "
369,Ronnie Brewer,"$1,069,509 ","$1,201,493 "
369,Ryan Hollins,"$1,069,509 ","$1,201,493 "
371,Luke Harangody,"$1,054,389 ","$1,184,507 "
372,DeJuan Blair,"$1,054,000 ","$1,184,070 "
373,Arnett Moultrie,"$1,042,320 ","$1,170,948 "
374,Devin Ebanks,"$1,040,000 ","$1,168,342 "
375,Perry Jones,"$1,035,960 ","$1,163,803 "
376,Festus Ezeli,"$1,020,960 ","$1,146,952 "
377,Mickael Pietrus,"$1,005,096 ","$1,129,131 "
378,Jon Brockman,"$1,000,000 ","$1,123,406 "
378,Kyle Singler,"$1,000,000 ","$1,123,406 "
380,Brandan Wright,"$992,680 ","$1,115,182 "
380,Kelenna Azubuike,"$992,680 ","$1,115,182 "
380,CJ Watson,"$992,680 ","$1,115,182 "
383,Ishmael Smith,"$985,000 ","$1,106,555 "
384,Gary Neal,"$972,000 ","$1,091,950 "
385,Ivan Johnson,"$962,195 ","$1,080,935 "
386,Chase Budinger,"$942,293 ","$1,058,577 "
387,Darius Morris,"$937,195 ","$1,052,850 "
388,Cartier Martin,"$915,852 ","$1,028,873 "
388,Anthony Tolliver,"$915,852 ","$1,028,873 "
390,Lance Stephenson,"$915,243 ","$1,028,189 "
391,James Anderson,"$902,002 ","$1,013,313 "
392,Chandler Parsons,"$888,250 ","$997,865 "
393,AJ Price,"$885,120 ","$994,349 "
393,DeMarre Carroll,"$885,120 ","$994,349 "
393,Alan Anderson,"$885,120 ","$994,349 "
393,Hasheem Thabeet,"$885,120 ","$994,349 "
397,Marquis Teague,"$857,000 ","$962,759 "
398,James White,"$854,389 ","$959,825 "
398,Will Conroy,"$854,389 ","$959,825 "
398,Dexter Pittman,"$854,389 ","$959,825 "
398,Matt Barnes,"$854,389 ","$959,825 "
398,Jeff Ayres,"$854,389 ","$959,825 "
398,Keith Bogans,"$854,389 ","$959,825 "
404,Tyler Honeycutt,"$850,000 ","$954,895 "
404,Draymond Green,"$850,000 ","$954,895 "
406,Brad Miller,"$848,000 ","$952,648 "
407,Mike James,"$795,400 ","$893,557 "
408,Kyle O'Quinn,"$788,872 ","$886,223 "
409,Isaiah Thomas,"$762,195 ","$856,254 "
409,PJ Tucker,"$762,195 ","$856,254 "
409,Charles Jenkins,"$762,195 ","$856,254 "
409,E'Twaun Moore,"$762,195 ","$856,254 "
409,Justin Harper,"$762,195 ","$856,254 "
409,Daniel Orton,"$762,195 ","$856,254 "
409,DeAndre Liggins,"$762,195 ","$856,254 "
409,Lance Thomas,"$762,195 ","$856,254 "
409,Malcolm Lee,"$762,195 ","$856,254 "
409,Jon Leuer,"$762,195 ","$856,254 "
409,Trey Thompkins,"$762,195 ","$856,254 "
409,Greg Smith,"$762,195 ","$856,254 "
409,Julyan Stone,"$762,195 ","$856,254 "
409,Josh Selby,"$762,195 ","$856,254 "
409,Cory Higgins,"$762,195 ","$856,254 "
409,Jeremy Tyler,"$762,195 ","$856,254 "
425,Shelvin Mack,"$761,800 ","$855,809 "
426,Sam Young,"$761,319 ","$855,270 "
427,Jannero Pargo,"$696,446 ","$782,390 "
428,Quincy Acy,"$665,000 ","$747,065 "
429,Jeff Adrien,"$653,356 ","$733,984 "
430,Doron Lamb,"$650,000 ","$730,214 "
431,Jae Crowder,"$600,491 ","$674,595 "
432,Garrett Temple,"$572,943 ","$643,647 "
433,Will Barton,"$550,000 ","$617,873 "
433,Orlando Johnson,"$550,000 ","$617,873 "
433,Jeffery Taylor,"$550,000 ","$617,873 "
436,Chris Johnson,"$508,586 ","$571,348 "
437,Kevin Murphy,"$473,604 ","$532,049 "
437,Luke Zeller,"$473,604 ","$532,049 "
437,Diante Garrett,"$473,604 ","$532,049 "
437,DeQuan Jones,"$473,604 ","$532,049 "
